VR_LANCAMENTO,Valores_aleatorios
4.8,2367384
200,256078
20,1585392
39,1280484
20000,164159
324.51,2479835
25,4543437
296.21,810896
10.45,558488
47.88,4441905
560,3974765
42,427881
9.55,4758543
1000,734643
10839.02,2992453
4.8,1109894
311.23,318306
1468.8,101615
50,939496
0.35,2685748
280,3099294
18000,2311410
1.2,2393508
369.6,2214836
2.35,1010576
182.15,2650578
594.27,328343
28.93,89660
12579.71,4514043
52,176227
693,2873718
280,974663
2.6,2092360
84,3610837
72.23,2246990
84,2073579
0.14,4374845
60.25,2350276
93.98,2078378
1.2,4973207
690,2517129
200,1932877
396.11,3978156
165.21,4794989
1500,2501994
98.08,4590668
13334.35,711718
582.82,1940367
1000,3005327
662.5,500953
1000,4919176
350,3295321
31,4907426
1322.17,3506006
50,2504574
748.76,2850329
21,541758
93,2275240
1.2,4337424
1566.66,4774732
200,3710638
6.71,1479447
800,3021549
7,3938335
10.45,3141049
3.1,1904611
37.5,426387
74.67,3095782
250,3290204
10,77183
140,1918604
22.7,4251644
4.8,2755625
2695,4744601
126.47,4539218
1.2,518153
102,2412533
120,2061918
291.52,1391263
15,3933065
19.69,1390542
21,2361760
233.45,3239439
1568,796073
266.2,2715622
500,2480035
1592.5,2137009
1.2,2716605
29.87,2356408
61.3,4355325
50,4059824
10,2238762
3250,1577000
69,1165968
2000,3112974
371.85,279752
10.45,1297153
22.25,2347937
37.5,287632
5.2,3396348
1.2,4481762
1.2,502982
1200,3042664
3135,4236823
10.45,1123613
6800,482714
46.75,3658583
487.39,174997
800,3959031
33.39,2626303
19.69,3787895
18.02,4935565
1.2,34506
84,1456664
60.1,3493720
990,645072
4.8,2391102
1268.33,3826898
100,1939825
91.03,262689
97.72,3817784
500,1658249
100,3620766
3628.76,1691533
2.2,1928532
603.3,108028
20,1147833
84,977136
100,2149420
120,4689950
132.27,4203605
45,450896
69,509132
3333.36,2772782
230,3043503
243.5,2288534
1.2,3588111
500,4241646
250,628543
100,4276695
280,3110308
159.57,4270319
1.2,3908924
100,2323026
1.2,418126
8000,2935243
83.26,341173
10.45,574675
1.2,4597442
19600,1841695
4493.02,196548
